CNPJ_Fundo_Classe;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
00.332.266/0001-31;2025-01-01;1;5819997.69;433459.39;0;0;5386538.3;480711200;480711200;0;480711200;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7206102.23;5370531.36;0;1835570.87;1440541.86;108233.38;0;0;0;650002.6;0;0;0;4482600.45;6681378.29
00.332.266/0001-31;2025-02-01;1;5802393.24;425428.83;0;0;5376964.41;480711200;480711200;0;480711200;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6712494.98;5357552.25;0;1354942.73;1440611.86;108533.38;0;0;0;650002.6;0;0;0;4059245.29;6258393.13
00.332.266/0001-31;2025-03-01;1;5757991.5;609375.92;0;0;5148615.58;480711200;480711200;0;480711200;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;8059212.01;6074123.02;0;1985088.99;1440681.86;108533.37;0;0;0;650002.6;0;0;0;3724155.38;5923373.21
00.332.266/0001-31;2025-04-01;1;7172252.39;3605034.86;0;0;3567217.53;480724700;480724700;0;480724700;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7475248.91;5498940.64;0;1976308.27;1440751.86;108533.38;0;0;0;650002.6;0;0;0;3895151.76;6094439.6
00.332.266/0001-31;2025-05-01;1;7028967.98;2995920.4;0;0;4033047.58;480724700;480724700;0;480724700;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6560859.44;4522295.01;0;2038564.43;2840896.36;108533.38;0;0;0;650002.6;0;0;0;3085621.29;6685053.63
00.332.266/0001-31;2025-06-01;1;6136541.5;2723020.13;0;0;3413521.37;480724700;480724700;0;480724700;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;8851217.56;7054514.36;0;1796703.2;2225003.58;108533.38;0;0;0;650002.6;0;0;0;4285109.35;7268648.91
00.332.266/0001-31;2025-07-01;1;6365960.56;3378358.12;0;0;2987602.44;430644100;430644100;0;430644100;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7400183.28;5622061.95;0;1778121.33;2309125.05;0;0;0;0;650002.6;0;0;0;4998466.37;7957594.02
00.332.266/0001-31;2025-08-01;1;4692107.6;2000;;;4690107.6;430644100;430644100;;430644100;;;;;;;;;;;;;;;;;;;;;;;;;;4341585.35;2242027.6;;2099557.75;152631.92;56647.16;;;;;;;;75318.74;284597.82
00.332.266/0001-31;2025-09-01;1;6210530.58;2000;;;6208530.58;430644100;430644100;;430644100;;;;;;;;;;;;;;;;;;;;;;;;;;4789761.05;1426466.32;;3363294.73;152638.92;56647.16;;;;;;;;50535.58;259821.66
00.613.094/0001-74;2025-01-01;1;569584.13;569584.13;0;0;0;196479439.13;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;582814.27;0;0;0;0;22379.3;0;0;0;0;0;0;0;0;217315566.91;217337946.21
00.613.094/0001-74;2025-02-01;1;569584.13;569584.13;0;0;0;196484463.94;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;587839.08;0;0;0;0;22379.3;0;0;0;0;0;0;0;0;217868559.29;217890938.59
00.613.094/0001-74;2025-03-01;1;569584.13;569584.13;0;0;0;196483775.9;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;587151.04;0;0;0;0;22379.3;0;0;0;0;0;0;0;0;218245922.83;218268302.13
00.613.094/0001-74;2025-04-01;1;569584.13;569584.13;0;0;0;196482702.61;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;586077.75;0;0;0;0;22379.3;0;0;0;0;0;0;0;0;218868080.81;218890460.11
00.613.094/0001-74;2025-05-01;1;569584.13;569584.13;0;0;0;196485377.09;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;588752.23;0;0;0;0;22379.3;0;0;0;0;0;0;0;0;219317833.5;219340212.8
00.613.094/0001-74;2025-06-01;1;569584.13;569584.13;0;0;0;196478890.24;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;582265.38;0;0;0;0;22379.3;0;0;0;0;0;0;0;0;219863916.43;219886295.73
00.613.094/0001-74;2025-07-01;1;569584.13;569584.13;0;0;0;196472456.65;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;575831.79;0;0;0;0;22379.3;0;0;0;0;0;0;0;0;220283249.55;220305628.85
00.613.094/0001-74;2025-08-01;1;569584.13;569584.13;0;0;0;196468419.12;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;571794.26;0;0;0;0;22379.3;0;0;0;0;0;0;0;0;220727040.78;220749420.08
00.613.094/0001-74;2025-09-01;1;569584.13;569584.13;0;0;0;196468637.82;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;572012.96;0;0;0;0;22379.3;0;0;0;0;0;0;0;0;221172283.36;221194662.66
00.762.723/0001-28;2025-01-01;1;47184.89;5579.24;0;0;41605.65;98025000;98025000;0;98025000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2601127.41;0;0;2601127.41;15.85;97269.6;0;0;0;0;0;0;0;423867.86;521153.31
00.762.723/0001-28;2025-02-01;1;549054.24;5200.7;0;0;543853.54;98025000;98025000;0;98025000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1501472.07;0;0;1501472.07;15.85;50828.8;0;0;0;0;0;0;0;423867.86;474712.51
